FID,lon,lat,Vs30,Z1(m),2s_Amp,3s_Amp,5s_Amp,10s_Amp
138,-117.331,34.224,760,-999,0.0975,0.0675,0.0870,-0.0036
139,-117.292,34.065,297,340,0.7372,0.6952,0.3677,0.0952
140,-117.289,34.091,279,320,0.7143,0.6572,0.3652,0.1040
141,-117.275,34.069,317,340,0.8288,0.8160,0.4563,0.1406
142,-117.294,34.140,323,320,0.6940,0.6658,0.4100,0.1415
143,-117.288,34.165,441,320,0.3424,0.2888,0.2155,0.0606
144,-117.349,34.103,326,320,0.6639,0.5305,0.2332,0.0300
145,-117.283,34.105,444,320,0.6784,0.6225,0.3658,0.1124
146,-117.288,34.123,426,320,0.7075,0.6725,0.4095,0.1393
147,-117.322,34.135,329,320,0.6317,0.5654,0.3273,0.0987
148,-117.277,34.047,359,320,0.5019,0.4279,0.1870,0.0056
149,-117.287,34.096,314,320,0.7002,0.6421,0.3628,0.1055
150,-117.365,34.205,496,320,0.1642,0.1229,0.1120,0.0136
151,-117.219,34.145,396,320,0.2622,0.1749,0.1648,0.0398
152,-117.427,34.193,631,320,0.2180,0.1121,0.0841,-0.0130
153,-117.681,33.487,406,-999,-0.4534,-0.4959,-0.3694,-0.3485
154,-117.886,33.704,222,400,0.2875,0.3825,0.4845,0.3324
155,-117.844,33.748,306,320,0.3296,0.4179,0.4196,0.2147
156,-119.187,34.303,490,660,0.5502,0.7820,0.8220,0.7785
157,-118.065,33.962,261,640,0.8074,0.9709,1.0290,0.7934
158,-118.456,34.014,378,600,0.5010,0.6228,0.7594,0.5895
159,-117.769,33.664,302,-999,-0.3876,-0.3366,-0.2656,-0.2496
160,-119.165,34.293,249,740,0.5707,0.8059,0.8312,0.7628
161,-117.789,33.829,441,-999,0.0444,0.1350,0.1966,0.0685
162,-118.463,34.154,316,320,0.1502,0.1804,0.1569,0.1037
163,-118.744,34.271,260,320,0.3837,0.3026,0.0537,0.1168
164,-118.449,34.416,369,320,0.6809,0.6097,0.4899,0.3008
165,-118.199,33.790,229,480,0.5056,0.6444,0.9567,0.8107
166,-117.235,34.232,393,-999,-0.0925,-0.1482,-0.0393,-0.0884
167,-119.137,34.437,351,320,0.3215,0.3785,0.3584,0.5906
168,-117.191,33.715,354,-999,-0.9197,-0.9639,-0.9034,-0.6712
169,-118.444,34.327,421,100,0.5963,0.6186,0.5701,0.4258
170,-118.448,34.309,399,100,0.6685,0.7051,0.6652,0.4870
171,-117.678,34.382,586,-999,0.0720,0.0755,0.0362,-0.0381
172,-118.820,34.156,383,320,0.0367,-0.1386,-0.3014,-0.2872
173,-118.600,34.084,506,320,-0.1463,-0.2250,-0.3137,-0.1992
174,-118.599,34.084,428,320,-0.1481,-0.2282,-0.3152,-0.1984
175,-118.286,34.019,278,580,0.7274,0.8038,0.8195,0.6447
176,-118.364,34.139,365,320,0.3935,0.4246,0.2421,0.0861
177,-117.853,34.444,387,-999,-0.0203,0.0051,-0.0371,-0.0899
178,-118.447,34.185,304,320,0.4487,0.5407,0.5100,0.2799
179,-118.118,34.484,405,-999,-0.1153,-0.1231,-0.1022,-0.1143
180,-117.951,34.009,343,320,0.7828,0.8857,0.7457,0.4223
181,-118.256,33.949,269,840,0.7282,0.8880,1.0471,1.0103
182,-118.650,34.172,384,100,0.2918,0.2583,0.2464,0.0711
183,-117.279,33.604,338,-999,-0.8896,-0.9084,-0.9452,-0.7368
184,-118.380,34.115,1043,6,0.2935,0.2874,0.1975,0.1036
185,-117.629,34.360,400,-999,0.1189,0.1189,0.0797,-0.0145
186,-117.058,34.004,347,320,0.6727,0.3122,0.1600,0.0319
