FID,longitude,latitude,Vs30,EAF1,EAF2,EAF3,EAF4,EAF5,2sec_Amplification,3sec_Amplification,5sec_Amplification,10sec_Amplification,StationNam,
61,-117.451,33.852,592,1.618079176,1.458567929,1.047401448,1.078402815,0,-0.710423648,-0.652500987,-0.610095501,-0.482194632,LakeMathewsDikeToe,
62,-117.205,33.862,418,1.017854953,1.021854258,1.063753434,1.056782344,0.900362789,-0.686739922,-0.750113964,-0.688590407,-0.501428008,LakePerrisLakePerrisDrive,
63,-118.176,33.881,345,4.02714641,4.755574515,4.990178829,5.410582573,4.885295645,0.736070216,0.914567053,1.196293354,1.201710224,LB-OrangeAve,
64,-118.291,34.615,505,1.536234201,1.144715198,1.132690161,1.171934935,1.208920214,-0.223856449,-0.202544212,-0.182804331,-0.119810261,LeonaValley,
65,-118.285,34.617,427,3.01666181,1.841630196,2.270514193,1.747465051,1.003991895,-0.2165346,-0.196138486,-0.175426871,-0.114929803,LeonaValley-FireStation#1,
66,-117.991,34.521,442,2.149623915,1.303704472,1.173854296,0.947734062,0.937204933,-0.115053818,-0.097557299,-0.111172751,-0.115289085,LittleRockPostOffice,
67,-117.25,34.051,343,2.757079454,2.526207786,2.876589573,2.251821931,1.978170258,0.437545389,0.343217105,0.189754233,0.025705576,LomaLinda;VAHospitalNorthFreefield,
68,-118.868,34.808,303,2.912510634,2.482546316,2.133490446,1.854198593,1.78179642,-0.266574234,-0.266428232,-0.318636656,-0.090944089,LoneJuniperRanch,
69,-118.108,33.818,244,3.467443829,3.941567955,4.083905448,4.35742679,3.647849345,0.674690127,0.873343945,1.183325648,1.136343002,LongBeach-LosCoyotesPaloVerde,
70,-118.088,33.798,262,5.010062181,5.27610835,5.335419421,5.39299809,5.599636522,0.654878199,0.84932667,1.162012935,1.095550418,LongBeachWaterReclmPlant1,
71,-118.346,34.07,321,2.480902167,2.947098513,2.924732529,2.938943398,2.850583907,0.558485448,0.582261622,0.615120649,0.415109485,LosAngeles-3rdLaBreaLADOT,
72,-118.117,34.073,330,3.797454269,2.441777907,2.493110035,2.220544888,2.062850557,0.787814081,0.762210011,0.647717655,0.365920246,LosAngeles-AcostaResidence,
73,-118.286,34.077,440,2.566180275,2.632229724,2.613873645,2.849729616,2.551634866,0.598778009,0.582976818,0.463181138,0.273313075,LosAngeles-BeverlyBlvdVirgil,
74,-118.434,34.03,290,2.445619071,2.527315922,2.626195789,2.636975753,1.867581275,0.527032256,0.653256476,0.772418857,0.589168906,LosAngeles-I10/405InterchangeGrnds,
75,-118.488,34.305,370,3.373893723,2.950085085,2.552931375,2.370760279,2.46096327,0.604658127,0.711188257,0.71260041,0.54399091,LosAngelesFiltrationPlant,
76,-118.411,33.943,425,2.608155504,3.261895855,3.743253214,4.92166344,4.734671402,0.413987905,0.577354789,0.7985304,0.678598762,LosAngeles;LAXFireStation,
77,-117.367,34.366,365,1.693849833,1.982691412,2.318066003,2.13837255,1.890058591,-0.033694997,-0.080098391,-0.022349507,-0.065915778,Lugo,
78,-117.482,34.233,414,1.742737209,1.61649577,1.242498854,1.478739608,1.76656094,0.139724776,0.087954804,0.105926193,-0.002712928,LytleCreekFireStation,
79,-118.8,34.013,350,2.124319724,2.231506846,1.617004765,1.481457371,0,-0.971297145,-0.850787759,-0.814893126,-0.622375846,Malibu-PointDumeSch,
80,-117.117,34.067,351,3.038001525,2.619948375,2.125361385,1.759111952,1.629618766,0.580804825,0.300196201,0.204222322,0.059729308,MentoneFireStation#9,
81,-117.098,34.106,699,1.154658629,1.128522553,1.072871015,1.082747306,1.305438027,0.396994114,0.194578648,0.139885828,0.011258357,MentoneGreenspotRd.,
82,-117.045,34.079,387,1.862043769,1.508586307,1.589084456,1.537115039,1.910343069,0.538664639,0.267700791,0.157110125,0.00932603,MillCreekRangerStation,
83,-117.511,34.014,342,1.534970205,1.249318372,1.352759003,0,0,0.063541487,-0.198746607,-0.3475025,-0.347596616,MiraLoma-MissionSanSevaine,
84,-117.562,34.005,335,2.109265293,1.619256159,1.591224621,1.320399698,1.276106237,0.245717481,-0.038932733,-0.220348373,-0.284997702,MiraLomaI-15andRiverside,
85,-118.905,34.281,356,5.253456021,4.545210992,3.783367681,3.271949575,2.869029873,0.492026806,0.407023698,0.198219419,0.182183683,Moorpark,
86,-117.173,33.921,338,1.76987364,1.77320067,1.692621978,1.861271251,0,-0.390814453,-0.448509485,-0.431980431,-0.312890261,MorenoValley-AlessandroMore,
87,-117.234,33.902,308,1.337891686,1.207564139,0,0,0,-0.639967322,-0.666769803,-0.622067928,-0.451863915,MorenoValley-IndianKennedy,
88,-117.252,33.968,415,1.576793322,1.337616358,1.269545735,1.595691983,0,-0.308582753,-0.33493337,-0.361611784,-0.283821642,MorenoValley-SunnyMeadVil,
89,-118.058,34.224,760,1.062831335,1.094316085,1.107763524,1.067135632,1.069168337,-0.162714586,-0.169379398,-0.144169718,-0.124724261,MountWilsonObsv,
90,-117.659,34.239,500,0.720572919,0.717032146,0.73976315,0.74502512,0.745078056,-0.040684205,-0.017699605,-0.002703106,-0.048890639,Mt.BaldyRangerStation,
